;news_title;news_link;news_time
1;"Родичі ""бранців Кремля"" вимагали під АП зустрітися з Порошенком";/news/2018/02/21/7172381/;16:01
2;документ Луценка можуть покарати за звинувачення в бік Саакашвілі;/news/2018/02/21/7172379/;15:49
3;"Лише три слова: ""Hyperloop в Україні"" – у Омеляна анонсували сенсацію";https://www.epravda.com.ua/news/2018/02/21/634309/;15:31
4;Захист Януковича хоче ще раз викликати Порошенка до суду;/news/2018/02/21/7172377/;15:24
5;Порошенко: Хто не згоден з самоусуненням Януковича, йдіть в КС;/news/2018/02/21/7172376/;15:15
6;Після питання про Мальдіви суд припинив допит Порошенка;/news/2018/02/21/7172374/;15:11
7;Один з українських банків припинив співпрацю з Visa;https://www.epravda.com.ua/news/2018/02/21/634305/;15:07
8;Порошенко пояснив, чому не прийшов до суду;/news/2018/02/21/7172371/;14:54
9;Адвокат у справі Тимошенко визнав: брехав про контакти з оточенням Манафорта;/news/2018/02/21/7172369/;14:51
10;Мінфін підтвердив, що ЄС закрив проект з модернізації КПП з Україною;http://www.eurointegration.com.ua/news/2018/02/21/7077845/;14:50
11;Гройсман не виконуватиме заклик Авакова про зняття охорони з судів;/news/2018/02/21/7172365/;14:29
12;"фото Порошенко: ""зелених чоловічків"" у Сімферополі бачив особисто";/news/2018/02/21/7172364/;14:26
13;"Клімкін розповів, коли можуть зустрітися глави МЗС ""нормандської четвірки""";/news/2018/02/21/7172362/;14:22
14;Швейцарські суди відмовили Іванющенкам у розмороженні коштів;/news/2018/02/21/7172361/;14:19
15;"Міноборони сховало угоди про постачання скандальних ""Богдан 2251""";/news/2018/02/21/7172363/;14:18
16;Кабмін вирішив, як навчатимуться першачки з наступного року;http://life.pravda.com.ua/society/2018/02/21/229116/;13:48
17;У суді над Януковичем подивились відео про приїзд Порошенка до Криму;/news/2018/02/21/7172357/;13:43
18;ДБР шукає активістів, які будуть його контролювати;/news/2018/02/21/7172356/;13:37
